"","lon","lat"
"677",-80.543845,34.9338651
"678",-82.4752757,35.5931377
"679",-81.734942,36.1941825
"680",-81.734942,35.7616931
"681",-76.0391909,36.2600564
"682",-78.4297187,36.3479057
"683",-118.7606453,45.7750424
"684",-118.0410627,45.2334122
"685",-116.9717994,45.592984
"686",-123.3873877,44.6281686
"687",-122.1188945,45.2023855
"688",-117.5791892,43.21716
"689",-121.2375121,45.0600051
"690",-124.1057369,43.242897
"691",-120.0963654,44.0978126
"692",-123.7653042,46.0210796
"693",-123.0357231,45.9197103
"694",-122.5927411,44.8446393
"695",-119.6243921,45.4514124
"696",-124.2781761,42.5440503
"697",-121.2616541,43.83251
"698",-121.6378798,45.5605475
"699",-122.7646577,42.334535
"700",-121.1785788,44.6673324
"701",-119.0116305,43.1423225
"702",-121.6142133,42.6952767
"703",-120.565768,42.6986344
"704",-122.6618227,43.9610092
"705",-123.4568737,42.3447572
"706",-122.53401,44.4099768
"707",-123.2492364,43.1260694
"708",-120.1802024,45.4565608
"709",-123.942359,44.609549
"710",-122.5863212,45.5145659
"711",-123.4919256,44.9266528
"712",-120.753042,45.4122013
"713",-123.7052374,45.5293478
"714",-123.1386021,45.5469616
"715",-120.0829624,44.6659766
"716",NA,NA
"717",-123.2395303,45.1771983
"718",-118.8917326,44.4384077
"719",-123.0704993,44.0459337
"720",-117.67692,44.7652304
"721",-78.9288242,41.147013
"722",-78.0195387,40.4155273
"723",-79.1096901,40.6850762
"724",-79.4703885,40.2353963
"725",-77.4242972,40.5521642
"726",-80.1875065,41.2619821
"727",-77.6077865,40.652279
"728",-75.2479061,41.0458376
"729",-75.3878525,40.2290075
"730",-76.6874701,41.0262303
"731",-75.294569,40.7749283
"732",-76.6874701,40.8674339
"733",-77.2405153,40.371376
"734",-76.0391909,41.5004703
"735",-76.7336521,39.9512496
"736",-77.8367282,41.6682559
"737",-76.1783739,40.6873058
"738",-77.0564464,40.750748
"739",-78.9288242,40.022493
"740",-76.5025742,41.4781004
"741",-75.8069082,41.745553
"742",-77.2864879,41.7649466
"743",-77.0564464,40.9894888
"744",-79.8296743,41.3896611
"745",-79.2902133,41.8143331
"746",-80.1875065,40.1367719
"747",-75.1652215,39.9525839
"748",-75.0611147,41.3361875
"749",-78.5660852,41.4284924
"750",-80.1875065,42.0521954
"751",-79.6502105,39.9272324
"752",-79.2451149,41.5341012
"753",-77.6536125,39.8923855
"754",-76.8807471,40.2648156
"755",NA,NA
"756",-80.365865,40.6367812
"757",-78.5660852,39.986955
"758",-75.5742467,41.4421199
"759",-76.1783739,40.0466571
"760",-75.2479061,41.6738865
"761",-75.3878525,39.907793
"762",-75.5742467,40.6519679
"763",-75.9927652,41.1404353
"764",-77.1024902,41.2720004
"765",-78.4751945,41.8133351
"766",-77.2864879,39.8522417
"767",-80.0087746,40.4450813
"768",-79.4703885,40.8790518
"769",-78.5660852,40.9519685
"770",-77.6536125,41.3331937
"771",-75.9927652,40.3451566
"772",-78.3842227,40.4531318
"773",-76.5488232,41.8362502
"774",-75.2479061,40.4107964
"775",-79.8296743,40.9115243
"776",-78.7476208,40.4894231
"777",-78.1564432,41.4261564
"778",-75.667356,40.901975
"779",-77.8367282,40.8765649
"780",-75.8069082,40.0010204
"781",-79.4703885,41.1982095
"782",-80.1875065,39.8113005
"783",-76.7336521,40.2734277
"784",-76.3637285,41.0274439
"785",-80.2767327,41.6661391
