"","fip","link_fip","file"
"98","C1974","http://www.bls.gov/cew/data/api/2014/4/area/C1974.csv","downloads/_C1974_18_.csv"
"99","C1974","http://www.bls.gov/cew/data/api/2015/4/area/C1974.csv","downloads/_C1974_19_.csv"
"100","C1974","http://www.bls.gov/cew/data/api/2016/4/area/C1974.csv","downloads/_C1974_20_.csv"
"101","C1982","http://www.bls.gov/cew/data/api/2012/1/area/C1982.csv","downloads/_C1982_1_.csv"
"102","C1982","http://www.bls.gov/cew/data/api/2013/1/area/C1982.csv","downloads/_C1982_2_.csv"
"103","C1982","http://www.bls.gov/cew/data/api/2014/1/area/C1982.csv","downloads/_C1982_3_.csv"
"104","C1982","http://www.bls.gov/cew/data/api/2015/1/area/C1982.csv","downloads/_C1982_4_.csv"
"105","C1982","http://www.bls.gov/cew/data/api/2016/1/area/C1982.csv","downloads/_C1982_5_.csv"
"106","C1982","http://www.bls.gov/cew/data/api/2012/2/area/C1982.csv","downloads/_C1982_6_.csv"
"107","C1982","http://www.bls.gov/cew/data/api/2013/2/area/C1982.csv","downloads/_C1982_7_.csv"
"108","C1982","http://www.bls.gov/cew/data/api/2014/2/area/C1982.csv","downloads/_C1982_8_.csv"
"109","C1982","http://www.bls.gov/cew/data/api/2015/2/area/C1982.csv","downloads/_C1982_9_.csv"
"110","C1982","http://www.bls.gov/cew/data/api/2016/2/area/C1982.csv","downloads/_C1982_10_.csv"
"111","C1982","http://www.bls.gov/cew/data/api/2012/3/area/C1982.csv","downloads/_C1982_11_.csv"
"112","C1982","http://www.bls.gov/cew/data/api/2013/3/area/C1982.csv","downloads/_C1982_12_.csv"
"113","C1982","http://www.bls.gov/cew/data/api/2014/3/area/C1982.csv","downloads/_C1982_13_.csv"
"114","C1982","http://www.bls.gov/cew/data/api/2015/3/area/C1982.csv","downloads/_C1982_14_.csv"
"115","C1982","http://www.bls.gov/cew/data/api/2016/3/area/C1982.csv","downloads/_C1982_15_.csv"
"116","C1982","http://www.bls.gov/cew/data/api/2012/4/area/C1982.csv","downloads/_C1982_16_.csv"
"117","C1982","http://www.bls.gov/cew/data/api/2013/4/area/C1982.csv","downloads/_C1982_17_.csv"
"118","C1982","http://www.bls.gov/cew/data/api/2014/4/area/C1982.csv","downloads/_C1982_18_.csv"
"119","C1982","http://www.bls.gov/cew/data/api/2015/4/area/C1982.csv","downloads/_C1982_19_.csv"
"120","C1982","http://www.bls.gov/cew/data/api/2016/4/area/C1982.csv","downloads/_C1982_20_.csv"
"121","C2050","http://www.bls.gov/cew/data/api/2012/1/area/C2050.csv","downloads/_C2050_1_.csv"
"122","C2050","http://www.bls.gov/cew/data/api/2013/1/area/C2050.csv","downloads/_C2050_2_.csv"
"123","C2050","http://www.bls.gov/cew/data/api/2014/1/area/C2050.csv","downloads/_C2050_3_.csv"
"124","C2050","http://www.bls.gov/cew/data/api/2015/1/area/C2050.csv","downloads/_C2050_4_.csv"
"125","C2050","http://www.bls.gov/cew/data/api/2016/1/area/C2050.csv","downloads/_C2050_5_.csv"
"126","C2050","http://www.bls.gov/cew/data/api/2012/2/area/C2050.csv","downloads/_C2050_6_.csv"
"127","C2050","http://www.bls.gov/cew/data/api/2013/2/area/C2050.csv","downloads/_C2050_7_.csv"
"128","C2050","http://www.bls.gov/cew/data/api/2014/2/area/C2050.csv","downloads/_C2050_8_.csv"
"129","C2050","http://www.bls.gov/cew/data/api/2015/2/area/C2050.csv","downloads/_C2050_9_.csv"
"130","C2050","http://www.bls.gov/cew/data/api/2016/2/area/C2050.csv","downloads/_C2050_10_.csv"
"131","C2050","http://www.bls.gov/cew/data/api/2012/3/area/C2050.csv","downloads/_C2050_11_.csv"
"132","C2050","http://www.bls.gov/cew/data/api/2013/3/area/C2050.csv","downloads/_C2050_12_.csv"
"133","C2050","http://www.bls.gov/cew/data/api/2014/3/area/C2050.csv","downloads/_C2050_13_.csv"
"134","C2050","http://www.bls.gov/cew/data/api/2015/3/area/C2050.csv","downloads/_C2050_14_.csv"
"135","C2050","http://www.bls.gov/cew/data/api/2016/3/area/C2050.csv","downloads/_C2050_15_.csv"
"136","C2050","http://www.bls.gov/cew/data/api/2012/4/area/C2050.csv","downloads/_C2050_16_.csv"
"137","C2050","http://www.bls.gov/cew/data/api/2013/4/area/C2050.csv","downloads/_C2050_17_.csv"
"138","C2050","http://www.bls.gov/cew/data/api/2014/4/area/C2050.csv","downloads/_C2050_18_.csv"
"139","C2050","http://www.bls.gov/cew/data/api/2015/4/area/C2050.csv","downloads/_C2050_19_.csv"
"140","C2050","http://www.bls.gov/cew/data/api/2016/4/area/C2050.csv","downloads/_C2050_20_.csv"
"141","C3310","http://www.bls.gov/cew/data/api/2012/1/area/C3310.csv","downloads/_C3310_1_.csv"
"142","C3310","http://www.bls.gov/cew/data/api/2013/1/area/C3310.csv","downloads/_C3310_2_.csv"
"143","C3310","http://www.bls.gov/cew/data/api/2014/1/area/C3310.csv","downloads/_C3310_3_.csv"
"144","C3310","http://www.bls.gov/cew/data/api/2015/1/area/C3310.csv","downloads/_C3310_4_.csv"
"145","C3310","http://www.bls.gov/cew/data/api/2016/1/area/C3310.csv","downloads/_C3310_5_.csv"
"146","C3310","http://www.bls.gov/cew/data/api/2012/2/area/C3310.csv","downloads/_C3310_6_.csv"
"147","C3310","http://www.bls.gov/cew/data/api/2013/2/area/C3310.csv","downloads/_C3310_7_.csv"
"148","C3310","http://www.bls.gov/cew/data/api/2014/2/area/C3310.csv","downloads/_C3310_8_.csv"
"149","C3310","http://www.bls.gov/cew/data/api/2015/2/area/C3310.csv","downloads/_C3310_9_.csv"
"150","C3310","http://www.bls.gov/cew/data/api/2016/2/area/C3310.csv","downloads/_C3310_10_.csv"
"151","C3310","http://www.bls.gov/cew/data/api/2012/3/area/C3310.csv","downloads/_C3310_11_.csv"
"152","C3310","http://www.bls.gov/cew/data/api/2013/3/area/C3310.csv","downloads/_C3310_12_.csv"
"153","C3310","http://www.bls.gov/cew/data/api/2014/3/area/C3310.csv","downloads/_C3310_13_.csv"
"154","C3310","http://www.bls.gov/cew/data/api/2015/3/area/C3310.csv","downloads/_C3310_14_.csv"
"155","C3310","http://www.bls.gov/cew/data/api/2016/3/area/C3310.csv","downloads/_C3310_15_.csv"
"156","C3310","http://www.bls.gov/cew/data/api/2012/4/area/C3310.csv","downloads/_C3310_16_.csv"
"157","C3310","http://www.bls.gov/cew/data/api/2013/4/area/C3310.csv","downloads/_C3310_17_.csv"
"158","C3310","http://www.bls.gov/cew/data/api/2014/4/area/C3310.csv","downloads/_C3310_18_.csv"
"159","C3310","http://www.bls.gov/cew/data/api/2015/4/area/C3310.csv","downloads/_C3310_19_.csv"
"160","C3310","http://www.bls.gov/cew/data/api/2016/4/area/C3310.csv","downloads/_C3310_20_.csv"
"161","C3798","http://www.bls.gov/cew/data/api/2012/1/area/C3798.csv","downloads/_C3798_1_.csv"
"162","C3798","http://www.bls.gov/cew/data/api/2013/1/area/C3798.csv","downloads/_C3798_2_.csv"
"163","C3798","http://www.bls.gov/cew/data/api/2014/1/area/C3798.csv","downloads/_C3798_3_.csv"
"164","C3798","http://www.bls.gov/cew/data/api/2015/1/area/C3798.csv","downloads/_C3798_4_.csv"
"165","C3798","http://www.bls.gov/cew/data/api/2016/1/area/C3798.csv","downloads/_C3798_5_.csv"
