"area_fips","area_title","area_descr","msa_state","msa","msa_states","msa_cities"
"C1258","Baltimore-Columbia-Towson, MD MSA","Baltimore-Columbia-Towson","MD","MSA","MD","Columbia"
"C1258","Baltimore-Columbia-Towson, MD MSA","Baltimore-Columbia-Towson","MD","MSA","MD","Towson"
"C1262","Bangor, ME MSA","Bangor","ME","MSA","ME","Bangor"
"C1270","Barnstable Town, MA MSA","Barnstable Town","MA","MSA","MA","Barnstable Town"
"C1294","Baton Rouge, LA MSA","Baton Rouge","LA","MSA","LA","Baton Rouge"
"C1298","Battle Creek, MI MSA","Battle Creek","MI","MSA","MI","Battle Creek"
"C1302","Bay City, MI MSA","Bay City","MI","MSA","MI","Bay City"
"C1314","Beaumont-Port Arthur, TX MSA","Beaumont-Port Arthur","TX","MSA","TX","Beaumont"
"C1314","Beaumont-Port Arthur, TX MSA","Beaumont-Port Arthur","TX","MSA","TX","Port Arthur"
"C1322","Beckley, WV MSA","Beckley","WV","MSA","WV","Beckley"
"C1338","Bellingham, WA MSA","Bellingham","WA","MSA","WA","Bellingham"
"C1346","Bend-Redmond, OR MSA","Bend-Redmond","OR","MSA","OR","Bend"
"C1346","Bend-Redmond, OR MSA","Bend-Redmond","OR","MSA","OR","Redmond"
"C1374","Billings, MT MSA","Billings","MT","MSA","MT","Billings"
"C1378","Binghamton, NY MSA","Binghamton","NY","MSA","NY","Binghamton"
"C1382","Birmingham-Hoover, AL MSA","Birmingham-Hoover","AL","MSA","AL","Birmingham"
"C1382","Birmingham-Hoover, AL MSA","Birmingham-Hoover","AL","MSA","AL","Hoover"
"C1390","Bismarck, ND MSA","Bismarck","ND","MSA","ND","Bismarck"
"C1398","Blacksburg-Christiansburg-Radford, VA MSA","Blacksburg-Christiansburg-Radford","VA","MSA","VA","Blacksburg"
"C1398","Blacksburg-Christiansburg-Radford, VA MSA","Blacksburg-Christiansburg-Radford","VA","MSA","VA","Christiansburg"
"C1398","Blacksburg-Christiansburg-Radford, VA MSA","Blacksburg-Christiansburg-Radford","VA","MSA","VA","Radford"
"C1401","Bloomington, IL MSA","Bloomington","IL","MSA","IL","Bloomington"
"C1402","Bloomington, IN MSA","Bloomington","IN","MSA","IN","Bloomington"
"C1406","Bloomington-Normal, IL MSA","Bloomington-Normal","IL","MSA","IL","Bloomington"
"C1406","Bloomington-Normal, IL MSA","Bloomington-Normal","IL","MSA","IL","Normal"
"C1410","Bloomsburg-Berwick, PA MSA","Bloomsburg-Berwick","PA","MSA","PA","Bloomsburg"
"C1410","Bloomsburg-Berwick, PA MSA","Bloomsburg-Berwick","PA","MSA","PA","Berwick"
"C1426","Boise City, ID MSA","Boise City","ID","MSA","ID","Boise City"
"C1446","Boston-Cambridge-Newton, MA-NH MSA","Boston-Cambridge-Newton","MA-NH","MSA","MA","Boston"
"C1446","Boston-Cambridge-Newton, MA-NH MSA","Boston-Cambridge-Newton","MA-NH","MSA","MA","Cambridge"
"C1446","Boston-Cambridge-Newton, MA-NH MSA","Boston-Cambridge-Newton","MA-NH","MSA","MA","Newton"
"C1446","Boston-Cambridge-Newton, MA-NH MSA","Boston-Cambridge-Newton","MA-NH","MSA","NH","Boston"
"C1446","Boston-Cambridge-Newton, MA-NH MSA","Boston-Cambridge-Newton","MA-NH","MSA","NH","Cambridge"
"C1446","Boston-Cambridge-Newton, MA-NH MSA","Boston-Cambridge-Newton","MA-NH","MSA","NH","Newton"
"C1450","Boulder, CO MSA","Boulder","CO","MSA","CO","Boulder"
"C1454","Bowling Green, KY MSA","Bowling Green","KY","MSA","KY","Bowling Green"
"C1474","Bremerton-Silverdale, WA MSA","Bremerton-Silverdale","WA","MSA","WA","Bremerton"
"C1474","Bremerton-Silverdale, WA MSA","Bremerton-Silverdale","WA","MSA","WA","Silverdale"
"C1486","Bridgeport-Stamford-Norwalk, CT MSA","Bridgeport-Stamford-Norwalk","CT","MSA","CT","Bridgeport"
"C1486","Bridgeport-Stamford-Norwalk, CT MSA","Bridgeport-Stamford-Norwalk","CT","MSA","CT","Stamford"
"C1486","Bridgeport-Stamford-Norwalk, CT MSA","Bridgeport-Stamford-Norwalk","CT","MSA","CT","Norwalk"
"C1498","Bristol, VA MSA","Bristol","VA","MSA","VA","Bristol"
"C1518","Brownsville-Harlingen, TX MSA","Brownsville-Harlingen","TX","MSA","TX","Brownsville"
"C1518","Brownsville-Harlingen, TX MSA","Brownsville-Harlingen","TX","MSA","TX","Harlingen"
"C1526","Brunswick, GA MSA","Brunswick","GA","MSA","GA","Brunswick"
"C1538","Buffalo-Cheektowaga-Niagara Falls, NY MSA","Buffalo-Cheektowaga-Niagara Falls","NY","MSA","NY","Buffalo"
"C1538","Buffalo-Cheektowaga-Niagara Falls, NY MSA","Buffalo-Cheektowaga-Niagara Falls","NY","MSA","NY","Cheektowaga"
"C1538","Buffalo-Cheektowaga-Niagara Falls, NY MSA","Buffalo-Cheektowaga-Niagara Falls","NY","MSA","NY","Niagara Falls"
"C1550","Burlington, NC MSA","Burlington","NC","MSA","NC","Burlington"
"C1554","Burlington-South Burlington, VT MSA","Burlington-South Burlington","VT","MSA","VT","Burlington"
"C1554","Burlington-South Burlington, VT MSA","Burlington-South Burlington","VT","MSA","VT","South Burlington"
"C1568","California-Lexington Park, MD MSA","California-Lexington Park","MD","MSA","MD","California"
"C1568","California-Lexington Park, MD MSA","California-Lexington Park","MD","MSA","MD","Lexington Park"
"C1594","Canton-Massillon, OH MSA","Canton-Massillon","OH","MSA","OH","Canton"
"C1594","Canton-Massillon, OH MSA","Canton-Massillon","OH","MSA","OH","Massillon"
"C1598","Cape Coral-Fort Myers, FL MSA","Cape Coral-Fort Myers","FL","MSA","FL","Cape Coral"
"C1598","Cape Coral-Fort Myers, FL MSA","Cape Coral-Fort Myers","FL","MSA","FL","Fort Myers"
"C1602","Cape Girardeau, MO-IL MSA","Cape Girardeau","MO-IL","MSA","MO","Cape Girardeau"
"C1602","Cape Girardeau, MO-IL MSA","Cape Girardeau","MO-IL","MSA","IL","Cape Girardeau"
"C1606","Carbondale-Marion, IL MSA","Carbondale-Marion","IL","MSA","IL","Carbondale"
"C1606","Carbondale-Marion, IL MSA","Carbondale-Marion","IL","MSA","IL","Marion"
"C1618","Carson City, NV MSA","Carson City","NV","MSA","NV","Carson City"
"C1622","Casper, WY MSA","Casper","WY","MSA","WY","Casper"
"C1630","Cedar Rapids, IA MSA","Cedar Rapids","IA","MSA","IA","Cedar Rapids"
"C1654","Chambersburg-Waynesboro, PA MSA","Chambersburg-Waynesboro","PA","MSA","PA","Chambersburg"
"C1654","Chambersburg-Waynesboro, PA MSA","Chambersburg-Waynesboro","PA","MSA","PA","Waynesboro"
"C1658","Champaign-Urbana, IL MSA","Champaign-Urbana","IL","MSA","IL","Champaign"
"C1658","Champaign-Urbana, IL MSA","Champaign-Urbana","IL","MSA","IL","Urbana"
"C1662","Charleston, WV MSA","Charleston","WV","MSA","WV","Charleston"
